,movies,rating,year,country,genr,director,actor
234,秒速5厘米,8.3,2007,日本,动画 剧情 爱情, 新海诚 Makoto Shinkai, 水桥研二 Kenji Mizuhashi / 近藤好美 ...
235,非常嫌疑犯,8.6,1995,德国 美国,剧情 犯罪 悬疑 惊悚, 布莱恩·辛格 Bryan Singer, 史蒂芬·鲍德温 Stephen Baldwin /...
236,我爱你,9.0,2011,韩国,剧情 爱情, 秋昌民 Chang-min Choo, 宋在河 Jae-ho Song / 李顺载 Soon-jae...
237,卡萨布兰卡,8.6,1942,美国,剧情 爱情 战争, 迈克尔·柯蒂兹 Michael Curtiz, 亨弗莱·鲍嘉 Humphrey Bogart...
238,国王的演讲,8.4,2010,英国 澳大利亚 美国,剧情 传记 历史, 汤姆·霍珀 Tom Hooper, 柯林·菲尔斯 Colin Firth / 杰弗里·...
239,千钧一发,8.7,1997,美国,剧情 科幻 惊悚, 安德鲁·尼科尔 Andrew Niccol, 伊桑·霍克 Ethan Hawke / 乌玛...
240,奇迹男孩,8.6,2017,美国 香港,剧情 儿童 家庭, 斯蒂芬·卓博斯基 Stephen Chbosky, 雅各布·特伦布莱 Jacob Tr...
241,疯狂的麦克斯4：狂暴之路,8.6,2015,澳大利亚 美国,动作 科幻 冒险, 乔治·米勒 George Miller, 汤姆·哈迪 Tom Hardy / 查理兹·塞...
242,遗愿清单,8.6,2007,美国,冒险 喜剧 剧情, 罗伯·莱纳 Rob Reiner, 杰克·尼科尔森 Jack Nicholson / 摩根...
243,美国丽人,8.5,1999,美国,剧情 爱情 家庭, 萨姆·门德斯 Sam Mendes, 凯文·史派西 Kevin Spacey / 安妮特...
244,驴得水,8.3,2016,中国大陆,剧情 喜剧, 周申 Shen Zhou / 刘露 Lu Liu, 任素汐 Suxi Ren / 大力 Da Li ...
245,荒岛余生,8.5,2000,美国,冒险 剧情, 罗伯特·泽米吉斯 Robert Zemeckis, 汤姆·汉克斯 Tom Hanks / ...
246,碧海蓝天,8.7,1988,法国 美国 意大利,剧情 爱情, Luc Besson, 让-马克·巴尔 Jean-Marc Barr / 让·雷诺 Jean Re...
247,枪火,8.7,1999,香港,剧情 动作 犯罪, 杜琪峰 Johnnie To, 吴镇宇 Francis Ng / 任达华 Simon Yam / ...
248,四个春天,8.9,2017,中国大陆,纪录片 家庭, 陆庆屹 Lu Qing Yi, 陆运坤 / 李桂贤
249,新世界,8.7,2013,韩国,剧情 犯罪, 朴勋政 Hoon-jung Park, 李政宰 Jung-Jae Lee / 崔岷植 Min-sik...
